oa_code,statistic_type,statistic_value
E00057096,weight_mean,0.10202286719437106
E00057097,weight_mean,0.10009354536950432
E00057098,weight_mean,0.040793413173652864
E00057099,weight_mean,0.031503814915087476
E00057100,weight_mean,0.043685464654487846
E00057101,weight_mean,0.02513345195729558
E00057102,weight_mean,0.0409054805401112
E00057103,weight_mean,0.018440346589646977
E00057104,weight_mean,0.12313104661389651
E00057105,weight_mean,0.024120108294363868
E00057106,weight_mean,0.10378188214599807
E00057107,weight_mean,0.04981004643309383
E00057108,weight_mean,0.04516673701983964
E00057109,weight_mean,0.039296407185628615
E00057110,weight_mean,0.13896218117853987
E00057111,weight_mean,0.05403123680878013
E00057112,weight_mean,0.10202286719437106
E00057113,weight_mean,0.02731971449667743
E00057114,weight_mean,0.046781437125748684
E00057115,weight_mean,0.039296407185628705
E00057116,weight_mean,0.05152596115735215
E00057117,weight_mean,0.041916167664670934
E00057118,weight_mean,0.045284431137724505
E00057119,weight_mean,0.044391597304796165
E00057120,weight_mean,0.10974456007568562
E00057121,weight_mean,0.040419161676646456
E00057122,weight_mean,0.1257695690413368
E00057123,weight_mean,0.02904257937484637
E00057124,weight_mean,0.876470588235294
E00057125,weight_mean,0.0915228807201799
E00057126,weight_mean,0.09377344336084023
E00057127,weight_mean,0.0960240060015006
E00057128,weight_mean,0.02666043030869972
E00057129,weight_mean,0.040824415378517505
E00057130,weight_mean,0.10502625656414094
E00057131,weight_mean,0.09677419354838682
E00057132,weight_mean,0.04453592814371239
E00057133,weight_mean,0.10127531882970763
E00057134,weight_mean,0.10278884462151364
E00057135,weight_mean,0.09977494373593407
E00057136,weight_mean,0.032734432685207905
E00057137,weight_mean,0.09561752988047818
E00057138,weight_mean,0.9400000000000001
E00057139,weight_mean,0.03174993846911129
E00057140,weight_mean,0.8176470588235293
E00057141,weight_mean,0.7529411764705879
E00057142,weight_mean,0.0293301625049544
E00057144,weight_mean,0.036676646706586824
E00057145,weight_mean,0.12603150787696893
E00057146,weight_mean,0.12747035573122528
E00057147,weight_mean,0.11599625818521983
E00057148,weight_mean,0.09977494373593408
E00057149,weight_mean,0.0967741935483868
E00057150,weight_mean,0.08402100525131297
E00057151,weight_mean,0.11102775693923454
E00057152,weight_mean,0.054763690922730625
E00057153,weight_mean,0.14423922603342135
E00057154,weight_mean,0.09452363090772713
E00057155,weight_mean,0.10277569392348075
E00057156,weight_mean,0.11433597185576086
E00057157,weight_mean,0.10277569392348075
E00057158,weight_mean,0.10517928286852575
E00057159,weight_mean,0.040044910179640826
E00057160,weight_mean,0.04565868263473054
E00057161,weight_mean,0.0975243810952738
E00057162,weight_mean,0.08627156789197271
E00057163,weight_mean,0.0952738184546137
E00057164,weight_mean,0.12137203166226926
E00057165,weight_mean,0.6529411764705884
E00057166,weight_mean,0.05052395209580829
E00057167,weight_mean,0.11609498680738775
E00057169,weight_mean,1.0764705882352938
E00057170,weight_mean,0.18029903254177668
E00057171,weight_mean,0.12528132033008288
E00057172,weight_mean,0.11627906976744198
E00057173,weight_mean,0.13896218117853978
E00057175,weight_mean,1.1882352941176473
E00057176,weight_mean,0.6200000000000002
E00057177,weight_mean,1.0764705882352936
E00057178,weight_mean,0.11327831957989519
E00057179,weight_mean,0.16804201050262588
E00057180,weight_mean,0.06751687921980482
E00057181,weight_mean,0.14054600606673404
E00057182,weight_mean,0.127221702525725
E00057183,weight_mean,0.10477081384471475
E00057184,weight_mean,0.016945562380851584
E00057185,weight_mean,0.08970976253298144
E00057186,weight_mean,0.11433597185576083
E00057187,weight_mean,0.0376569037656907
E00057188,weight_mean,0.09377344336084022
