geo_type,region,transportation_type,alternative_name,sub_region,country,date,score
city,Birmingham,driving,NA,England,United Kingdom,2020-07-05,82.38
city,Birmingham,driving,NA,England,United Kingdom,2020-07-06,93.4
city,Birmingham,driving,NA,England,United Kingdom,2020-07-07,91.51
city,Birmingham,driving,NA,England,United Kingdom,2020-07-08,92.76
city,Birmingham,driving,NA,England,United Kingdom,2020-07-09,94.74
city,Birmingham,driving,NA,England,United Kingdom,2020-07-10,107.89
city,Birmingham,driving,NA,England,United Kingdom,2020-07-11,96.98
city,Birmingham,driving,NA,England,United Kingdom,2020-07-12,87.6
city,Birmingham,driving,NA,England,United Kingdom,2020-07-13,96.16
city,Birmingham,driving,NA,England,United Kingdom,2020-07-14,95.83
city,Birmingham,driving,NA,England,United Kingdom,2020-07-15,100.56
city,Birmingham,driving,NA,England,United Kingdom,2020-07-16,100.75
city,Birmingham,driving,NA,England,United Kingdom,2020-07-17,111.85
city,Birmingham,driving,NA,England,United Kingdom,2020-07-18,100.53
city,Birmingham,driving,NA,England,United Kingdom,2020-07-19,92.21
city,Birmingham,driving,NA,England,United Kingdom,2020-07-20,102.18
city,Birmingham,driving,NA,England,United Kingdom,2020-07-21,104.01
city,Birmingham,driving,NA,England,United Kingdom,2020-07-22,106.31
city,Birmingham,driving,NA,England,United Kingdom,2020-07-23,106.47
city,Birmingham,driving,NA,England,United Kingdom,2020-07-24,116.65
city,Birmingham,driving,NA,England,United Kingdom,2020-07-25,102.1
city,Birmingham,driving,NA,England,United Kingdom,2020-07-26,90.25
city,Birmingham,driving,NA,England,United Kingdom,2020-07-27,114.24
city,Birmingham,driving,NA,England,United Kingdom,2020-07-28,108.98
city,Birmingham,driving,NA,England,United Kingdom,2020-07-29,109.07
city,Birmingham,driving,NA,England,United Kingdom,2020-07-30,113.31
city,Birmingham,driving,NA,England,United Kingdom,2020-07-31,118.62
city,Birmingham,driving,NA,England,United Kingdom,2020-08-01,107.2
city,Birmingham,driving,NA,England,United Kingdom,2020-08-02,96.6
city,Birmingham,driving,NA,England,United Kingdom,2020-08-03,109.79
city,Birmingham,driving,NA,England,United Kingdom,2020-08-04,108.35
city,Birmingham,driving,NA,England,United Kingdom,2020-08-05,114.96
city,Birmingham,driving,NA,England,United Kingdom,2020-08-06,112.08
city,Birmingham,driving,NA,England,United Kingdom,2020-08-07,123.87
city,Birmingham,driving,NA,England,United Kingdom,2020-08-08,115.04
city,Birmingham,driving,NA,England,United Kingdom,2020-08-09,98.51
city,Birmingham,driving,NA,England,United Kingdom,2020-08-10,111.96
city,Birmingham,driving,NA,England,United Kingdom,2020-08-11,111.39
city,Birmingham,driving,NA,England,United Kingdom,2020-08-12,111.49
city,Birmingham,driving,NA,England,United Kingdom,2020-08-13,112.25
city,Birmingham,driving,NA,England,United Kingdom,2020-08-14,121.91
city,Birmingham,driving,NA,England,United Kingdom,2020-08-15,106.42
city,Birmingham,driving,NA,England,United Kingdom,2020-08-16,93.42
city,Birmingham,driving,NA,England,United Kingdom,2020-08-17,110.52
city,Birmingham,driving,NA,England,United Kingdom,2020-08-18,111.79
city,Birmingham,driving,NA,England,United Kingdom,2020-08-19,113.53
city,Birmingham,driving,NA,England,United Kingdom,2020-08-20,113.53
city,Birmingham,driving,NA,England,United Kingdom,2020-08-21,118.99
city,Birmingham,driving,NA,England,United Kingdom,2020-08-22,108.35
city,Birmingham,driving,NA,England,United Kingdom,2020-08-23,95.85
city,Birmingham,driving,NA,England,United Kingdom,2020-08-24,111.91
city,Birmingham,driving,NA,England,United Kingdom,2020-08-25,110.99
city,Birmingham,driving,NA,England,United Kingdom,2020-08-26,116.31
city,Birmingham,driving,NA,England,United Kingdom,2020-08-27,118.59
city,Birmingham,driving,NA,England,United Kingdom,2020-08-28,130.73
city,Birmingham,driving,NA,England,United Kingdom,2020-08-29,111.72
city,Birmingham,driving,NA,England,United Kingdom,2020-08-30,96.43
city,Birmingham,driving,NA,England,United Kingdom,2020-08-31,105.95
city,Birmingham,driving,NA,England,United Kingdom,2020-09-01,112.19
city,Birmingham,driving,NA,England,United Kingdom,2020-09-02,115.28
city,Birmingham,driving,NA,England,United Kingdom,2020-09-03,113.29
city,Birmingham,driving,NA,England,United Kingdom,2020-09-04,121.73
city,Birmingham,driving,NA,England,United Kingdom,2020-09-05,112.42
city,Birmingham,driving,NA,England,United Kingdom,2020-09-06,102.94
city,Birmingham,driving,NA,England,United Kingdom,2020-09-07,111.04
city,Birmingham,driving,NA,England,United Kingdom,2020-09-08,112.36
city,Birmingham,driving,NA,England,United Kingdom,2020-09-09,110.86
city,Birmingham,driving,NA,England,United Kingdom,2020-09-10,110.28
city,Birmingham,driving,NA,England,United Kingdom,2020-09-11,119.65
city,Birmingham,driving,NA,England,United Kingdom,2020-09-12,113.77
city,Birmingham,driving,NA,England,United Kingdom,2020-09-13,103.47
city,Birmingham,driving,NA,England,United Kingdom,2020-09-14,111.62
city,Birmingham,driving,NA,England,United Kingdom,2020-09-15,109.89
city,Birmingham,driving,NA,England,United Kingdom,2020-09-16,109.65
city,Birmingham,driving,NA,England,United Kingdom,2020-09-17,113.52
city,Birmingham,driving,NA,England,United Kingdom,2020-09-18,122.39
city,Birmingham,driving,NA,England,United Kingdom,2020-09-19,110.97
city,Birmingham,driving,NA,England,United Kingdom,2020-09-20,98.71
city,Birmingham,driving,NA,England,United Kingdom,2020-09-21,105.74
city,Birmingham,driving,NA,England,United Kingdom,2020-09-22,103.88
city,Birmingham,driving,NA,England,United Kingdom,2020-09-23,102.51
city,Birmingham,driving,NA,England,United Kingdom,2020-09-24,105.21
city,Birmingham,driving,NA,England,United Kingdom,2020-09-25,115.75
city,Birmingham,driving,NA,England,United Kingdom,2020-09-26,103.3
city,Birmingham,driving,NA,England,United Kingdom,2020-09-27,91.91
city,Birmingham,driving,NA,England,United Kingdom,2020-09-28,98.97
city,Birmingham,driving,NA,England,United Kingdom,2020-09-29,100.18
city,Birmingham,driving,NA,England,United Kingdom,2020-09-30,103.87
